means of sth.;Mittel zu etwas / für einen bestimmten Zweck
face-to-face (conversation);(Gespräch) von Angesicht zu Angesicht
mass media;Massenmedien
broadcast (broadcasting);Öffentliche Funksendung (senden, ausstrahlen)
to print;drucken
to  transmit;senden, übertragen, übermitteln
the aim(-s) of sth. ;Das/Die Zile(-e) von etwas
to persuade;überreden, überzeugen
persuasive;überzeugend
persuasion;Überredung, Überredungskünste
current afairs show;Zeitgeschichtliche Sendung, Zeitgeschehen
to collaborate;zusammenarbeiten
collaborative;gemeinschaftlich
wiki;Wiki (= Wissenssammlung, Anleitung, Lexikon)
to contribute;beitragen, einen Beitrag leisten
commercial;Werbeeinspielung
sitcom;Situationskomödie (= Lustige Diskussionssendung zu aktuellen Themen)
drama series;Drama-Serie
hooked;Festgehakt/gehalten, gespannt, ...?
teaser;kurze Vorschau, Werbeelement das neugier wecken sollte
cliffhanger;offenes Ende bei interessanter Stelle
print media;Druckmedien (z.B. Zeitung)
publication;Veröffentlichung
advertising revenue;Werbeeinnahmen
revenue;Einnahmen
broadcast media;Sendemedien
to binge-watch;Serie in einem Durchlauf ansehen
publicity;Publizität, Werbung
(video) clips;(Video) Ausschnitte
to tick of boxes;Checklisteneinträge abhaken
climate disaster;Klimakatastrohe
to cope with;zurechtkommen mit, umgehen mit
ingredients;Zutaten
spices;Gewürze
views;Ansichten, Meinungen
to benefit from sth.;von etwas profitieren
according to research;laut der Forschung
prolonged;verlängert, für längere Zeit
ink; Tinte
intention;Absicht
to intend;Beabsichtigen
to employ;anwenden, einsetzen
to require;brauchen, erfordern
amusing;amüsant