to claim;behaupten
claim ;Behauptung
to verify;(auf Richtigkeit) überprüfen, bestätigen
unverified;unverifiziert
to go viral;sich schnell verbreiten, viral gehen
to attempt;versuchen
to accelerate;beschleunigen
dissemination;Verbreitung
to promote;bewerben, anwerben, fördern
traffic;Klicks, Webseitenaufrufe
to rely on;abhängig sein von
to cite;zitieren
to turn out;sich herausstellen
to sweep;hinwegfegen
findings;Fundstücke
initial;zuerst, ursprünglich
to found;gründen
obligation;Pflicht
sheer (number of);alleinig (die Menge von)
to distribute;verteilen, verbreiten
entirely;komplett, ganz
to emerge;aufscheinen, auftauchen
believable;glaubwürdig
bold;dreist, frech, gewagt, mutig
in recent years;in den letzten Jahren
deliberately;Absichtlich
genuine;ehrlich, wahrhaftig, richtig
to refute;widerlegen, rückweisen