burglar;Einbrecher
a flock of;ein Schwarm von, eine Schar von
a herd of;eine Herde von (z.B. Kühen)
a pack of;ein Rudel/eine Meute von (z.B. Hunden)
a bunch of;eine große Menge/ein Bündel von (z.B. Blumen)
play;Theaterstück
cast;Besetzung (eines Films, Theaters)
crew;Besatzung, Mannschaft
crowd;Menschenmenge
to cause;verursachen
panel;Expertenrunde
staff;Mitarbeiter, Belegschaft
apparently;anscheinend
pigeon;Taube
lane;Spur (einer Straße)
to threaten;drohen
to gather;ansammeln (z.B. eine Gruppe von Leuten)
spellbound;gebannt, verzaubert
entire;das Ganze, das Gesamte
outright;allgemein, völlig, komplett
"to rely on sth. ";sich auf etwas verlassen
in my mind;"in/laut meiner Vorstellung/Kopf/Gedanken "
"as I see it ";so wie ich es sehe
to my mind;für mein Gefühl/Empfinden
I firmly believe;ich glaube fest, ich bin mir ziemlich sicher
furthermore, moreover;außerdem, weiters
not only that;nicht nur das
it's also clear that;es ist auch klar dass ...