fall, autum;Herbst
lawn;rasen
plot, allotment;Grundstück
housing estate;Wohnsiedlung
rooftop;Dack (oberseite von Dächern)
in the distance;weit entfernt
convenient;praktisch
to feel trapped;sich eingesperrt fühlen
loaf [loaves] (of bread);(Brot-) Laib [Laibe]
sense of community;Gemeinschaftsgefühl
the quiet;die Stille
pace (of life);Geschwindigkeit (des Lebens)
"""it suits me""";es passt (zu) mir
pollution;Verschmutzung
facilities;Einrichtungen
cosmopolitan;kosmopolitisch, weltoffen, weltstädtisch