steep drop;steiler Abfall
phobia (about hights);(Höhen-)Angst
to assume;annehmen
to be pleased;zufrieden, erfreut sein
branch (branches);Ast (Äste)
leaf (leaves);Blatt (Blätter)
gloomy;düster, dunkel
track;Spur
trek;Wanderung
humid;feucht
to itch;jucken
to breathe;atmen
breath;Atemzug
to aim;zielen, erzielen
to resolve;beheben, lösen
abusive;missbräuchlich; gewalttätig
to be a foul-mouth;frech sein
on multiple occasions;bei mehreren Gelegenheiten
short-lived;kurzlebig
benefit;Vorteil
self-esteen;Selbstbewusstsein
setback;Rückschlag
despite;trotz
a further ...;ein/e weitere/s/r
to regard;beachten