adventurous;abenteuerlustig, abenteuerlich
creative;kreativ, einfallsreich
humorous;witzig
rebellious;rebellisch, aufmüpfig
risk-taking;risikobereit
unconventional;ungewöhnlich, außergewöhnlich
competitive;wettbewerbsfähig, konkurrenzfähig, konkurrierend
first-born;erstgeboren(-e(r))
parental attention;Aufmerksamkeit der Eltern
to carry out [informal], to convey [formal], to conduct [formal] (a study);(eine Studie) durchführen [mehrere Synonyme]
the need to do sth.;das Bedürfnis etwas zu tun
findings (of the study);[Wissenschaftliche] Ergebnisse (der Studie)
to tie in;übereinstimmen, zusammenpassen
novel;neuartig, originell
to gain (attention);(Aufmerksamkeit) erlangen, bekommen
"to put up with (syn. ""to tolerate"")";dulden [phrasal]
"to put down (syn. ""to humiliate, to suppress"")";demütigen, unterdrücken [phrasal]
"to put up sbd. (syn. ""to accommodate sbd."")";jemanden unterbringen [phrasal]
"to put down to (syn. ""to explain"")";zurückführen auf, erklären [phrasal]
"to put up sth. (syn. ""to provide, to increase"")";zur Verfügung stellen, aufkommen für, erhöhen
"to put sbd. up to sth. (syn. ""to persuade sbd."")";überreden
to put across;[Information] rüberbringen [phrasal]
"to put out (syn. ""to extinguish"")";löschen, auslöschen
to put on;"so tun als ob "
to put sbd. through sth.;jmdn. etwas antun [phrasal]
to put forward;vorlegen, vorbringen, vorschlagen
to put down/back/away;weg-/nieder- legen
to put sbd. of;"jmdn. abschrecken "
shortage;Knappheit, Mangel