nutrients;Nährstoffe
run down;erschöpft, niedergeschlagen
fad;Modeerscheinung
fad diet;MOdediät
long term;langfristig
short term;kurzfristig
dietary fibre;Ballaststoffe
grain;Getreide
biscuits;GKekse
saturated fat;gesättigte Fettsäure
organic produce (no PL);organische Produkte, Bio-Produkte
pestisides;Pestizide
agricultural;landwirtschaftlich
obese;fettleibig
obesit;Fettleibigkeit
cabbage;Kraut
lettuce;Salat
pears;Birnen
prawns;Schrimps
salmon;Lachs
trout;Forelle
veal;Kalb
encourage;ermuntern, ermutigen, anstiften
to refuse;verweigern
nutritional advice;Ernährungstipps, Ernährungsberatung
to endorse;befürworten
allotment;Kleingarten
container gardening;Containergärtnern
to express;sich ausdrücken
sustainability;Nachhaltigkeit
additives;(z.B. Speise-)Zusätze
economic;ökonimisch, wirtschaftlich
groumet chef;Haubenkoch
herbs;Kräuter
market domination;Marktbeherrschung
convenience foods;Fertiggerichte
conscious;bewusst
to break the habbit;sich etwas abgewöhnen
to be concerned;sich Sorgen machen
surgeon;Chirurg
convenience store;Lebensmittelladen, Verbrauchermarkt
nutritious;nährhaft
contract;Vertrag
eating disorder;Essstörung
to promote (a product);(ein Produkt) anwerben, bewerben
advocate;Befürworter
to cut back on sth.;(Verbrauch von etwas) reduzieren, verringern
dairy products;Milchprodukte
nutrients;Nährstoffe
recipe;Rezept (kochen)
prescription;Rezept (Arzt), "Verschreibung" von Medikamenten
receipt;Rechnung (Einkauf)
to vary;variieren
diet;Ernährung 
advice;Ratschlat
to advise;etwas empfehlen
ordinary;normal, regulär
familiar;vertraut, bekannt
to fall for sth.;auf etwas (einen Trick) hereinfallen
not affordable;unleistbar, nicht leistbar
poverty;Armut