"boarding school ";Internat
to spread;verbreiten
to suffer from;unter etwas leiden, leiden unter
lumpy (bed);verklumpt (-es Bett)
to overlook;übersehen
mental/physical problems;geistige/physische Probleme
to prevent;verhindern
determined;entschlossen
to encourage;ermutigen, fördern
coach;Trainer
estate agent;Immobilienmakler
to consider, to take into consideration;in Betracht ziehen
to be considered as;besehen werden als, betrachtet werden als
angel;Winkel, Blickwinkel
to giggle;kichern
voided;Stimmhaft [Stimme mit Kehlton]
unvoiced;Stimmlos [Stimme ohne Kehlton]
news item;Nachrichten Beitrag
intruder;Eindringling
incident;Vorfall, Ereignis
to fancy something;Lust auf etwas haben
supposed to be ...;angeblich/angeblich ... sein